DEPARTMENT,PROVINCE,DISTRICT,UBIGEO,GID_3,NAME_3,Poverty
AMAZONAS,BAGUA,BAGUA,10201,,,16.20000076
AMAZONAS,BAGUA,ARAMANGO,10202,PER.1.1.1_1,Aramango,38.5
AMAZONAS,BAGUA,COPALLIN,10203,PER.1.1.2_1,Copallin,24.5
AMAZONAS,BAGUA,EL PARCO,10204,PER.1.1.3_1,El Parco,35.20000076
AMAZONAS,BAGUA,IMAZA,10205,PER.1.1.4_1,Imaza,53.90000153
AMAZONAS,BAGUA,LA PECA,10206,PER.1.1.5_1,La Peca,34.79999924
AMAZONAS,BONGARA,CHISQUILLA,10302,PER.1.2.1_1,Chisquilla,42.20000076
AMAZONAS,BONGARA,CHURUJA,10303,PER.1.2.2_1,Churuja,20.79999924
AMAZONAS,BONGARA,COROSHA,10304,PER.1.2.3_1,Corosha,54.79999924
AMAZONAS,BONGARA,CUISPES,10305,PER.1.2.4_1,Cuispes,45.79999924
AMAZONAS,BONGARA,FLORIDA,10306,PER.1.2.5_1,Florida,33.70000076
AMAZONAS,BONGARA,JAZAN,10307,PER.1.2.6_1,Jazan,22.70000076
AMAZONAS,BONGARA,JUMBILLA,10301,PER.1.2.7_1,Jumbilla,29.5
AMAZONAS,BONGARA,RECTA,10308,PER.1.2.8_1,Recta,38.70000076
AMAZONAS,BONGARA,SAN CARLOS,10309,PER.1.2.9_1,San Carlos,29
AMAZONAS,BONGARA,SHIPASBAMBA,10310,PER.1.2.10_1,Shipasbamba,35.90000153
AMAZONAS,BONGARA,VALERA,10311,PER.1.2.11_1,Valera,20.79999924
AMAZONAS,BONGARA,YAMBRASBAMBA,10312,PER.1.2.12_1,Yambrasbamba,43.90000153
AMAZONAS,CHACHAPOYAS,ASUNCION,10102,PER.1.3.1_1,Asuncion,36.5
AMAZONAS,CHACHAPOYAS,BALSAS,10103,PER.1.3.2_1,Balsas,45.70000076
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,10101,PER.1.3.3_1,Chachapoyas,9
AMAZONAS,CHACHAPOYAS,CHETO,10104,PER.1.3.4_1,Cheto,39.20000076
AMAZONAS,CHACHAPOYAS,CHILIQUIN,10105,PER.1.3.5_1,Chiliquin,53
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,10106,PER.1.3.6_1,Chuquibamba,51.59999847
AMAZONAS,CHACHAPOYAS,GRANADA,10107,PER.1.3.7_1,Granada,43.90000153
AMAZONAS,CHACHAPOYAS,HUANCAS,10108,PER.1.3.8_1,Huancas,32
AMAZONAS,CHACHAPOYAS,LA JALCA,10109,PER.1.3.9_1,La Jalca,47.90000153
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10110,PER.1.3.10_1,Leimebamba,25.70000076
AMAZONAS,CHACHAPOYAS,LEVANTO,10111,PER.1.3.11_1,Levanto,41.09999847
AMAZONAS,CHACHAPOYAS,MAGDALENA,10112,PER.1.3.12_1,Magdalena,30.60000038
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,10113,PER.1.3.13_1,Mariscal Castilla,39.20000076
